Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
At5g13160	-0.4500428223368079	0.26925867140879006
At5g26731	-0.44905551021699514	0.22671841343080618
At5g65140	-0.4725574286941893	0.2253774971629028
At5g61110	-0.4946029781397976	0.2523640001351171
At5g49570	-0.529087819215663	0.22589848743104257
At5g46470	-0.4794430628948957	0.22480552884902635
At5g39880	-0.489057562393602	0.24478337840065925
At5g18090	-0.44549323448791545	0.25638512859092605
At5g02940	-0.579154871415753	0.22319537696165162
At3g60130	-0.4579849168345344	0.22102054351974823
At3g59680	-0.533053026397544	0.2304109313090011
At4g25920	-0.48912264943452594	0.2286408043153317
At4g25330	-0.5661407895011125	0.24814392061329818
At4g21750	-0.5586125220826396	0.23407148527241417
At1g54920	-0.5024376390207046	0.27215330411834016
At3g30210	-0.5429349325412484	0.2633814578058522
At1g14820	-0.5644862887080124	0.23601695048240068
At1g48180	-0.4771814172488112	0.2696849709770257
At3g28420	-0.4546408877752428	0.23088003234839477
At3g25400	-0.5108765126639759	0.2358536414653551
At3g06490	-0.565922060006555	0.22264435446218875
At1g60890	-0.5272399918048105	0.26631032068944455
At1g73680	-0.5243427986253563	0.22542920964847893
At1g74020	-0.5246546438864792	0.24308288253195304
At1g62340	-0.43972362359575645	0.2677164118459385
At1g52970	-0.4562627635920397	0.24388294942398184
At1g53035	-0.4640755181086723	0.24109142725620109
At1g36470	-0.4518052880075784	0.24236083756904445
At1g77830	-0.5974365323177095	0.25740699499481107
At1g11310	-0.5222836357826921	0.24603154347678402
At1g05580	-0.503356709227527	0.2243727854646891
At2g14110	-0.565072005104467	0.23432089270422293
At2g25030	-0.5615549541144434	0.2479275134435852
At2g20700	-0.4642785181691662	0.23123873090358366
At2g18070	-0.44872483488033954	0.23917765513785325
At2g39950	-0.5779605262621027	0.27166732243349473
